TRAVEL_ID,recommend_result_place
a_a000618,"['남산', '용산가족공원', '국립한글박물관', 'CGV 용산아이파크몰', '국립중앙박물관', '국립현대미술관 덕수궁관', '남산서울타워', '백범광장', '덕수궁', '충무아트센터 대극장']"
a_a004497,"['남한산성둘레길 1코스', '남한산성 서문 전망대', '화담숲', '남한산성 행궁', '한국도자재단 경기도자박물관', '남한산성', '곤지암리조트 스파라스파', '곤지암리조트']"
a_a005182,"['어둠속의대화', '유니플렉스', '교보문고 광화문점', '창덕궁 후원', '인왕산 수성동계곡', '아트원씨어터', '서촌한옥마을', '흥인지문공원', '조계사', '북촌마을서재']"
a_a004399,"['플라잉수원', '왕송호수', '서울대학교 수원수목원', '경수갤러리', '광교호수공원', '경기의왕 레일파크', '레솔레파크', '수원탑동시민농장', '수원화성 연무대 관광안내소', '매향교']"
a_a002761,"['붕어섬', '경반계곡', '국립유명산자연휴양림', '강촌레일파크 김유정역', '유기농카페', '남이섬', '신매대교 인증센터', '경강교 인증센터', '가평레일파크', '자라섬 남도']"
a_a001244,"['청풍호반케이블카 비봉산역', '배론성지', '제천 옥순봉 출렁다리', '포레스트리솜 해브나인스파', '비봉산', '국립제천치유의숲', '연세대학교 미래캠퍼스', '박경리문학공원', '청풍호반케이블카 물태리역', '간현관광지']"
a_a002245,"['어둠속의대화', '유니플렉스', '창덕궁 돈화문', '인왕산 수성동계곡', '교보문고 광화문점', '서촌한옥마을', '창덕궁 후원', '국립현대미술관 서울관', '흥인지문공원', '아트원씨어터']"
a_a007884,"['스타벅스 용인에버랜드R점', '에버랜드 판다월드', '호암미술관', '에버랜드 정문', '에버랜드 로스트밸리', '에버랜드 아마존익스프레스', '경기도박물관', '백남준아트센터', '경기도어린이박물관', '한국민속촌']"
a_a001226,"['인천광역시교육청교육과학정보원 인천학생과학관', '영종씨사이드 레일바이크', '월미공원', '영종역사관', '소무의도', '인천내리교회', '선녀바위', '왕산해수욕장', '하나개해수욕장', '씨사이드파크']"
a_a005324,"['CGV 용산아이파크몰', '국립한글박물관', '국립중앙박물관', '남산서울타워', '용산가족공원', '남산', '리움미술관', '남산공원 N서울타워', '블루스퀘어', '전쟁기념관']"
a_a002737,"['양주시립민복진미술관', '양주시립장욱진미술관', '필룩스조명박물관', '경기북부어린이박물관', '회암사지박물관', '양주나리농원', '소요산', '니지모리스튜디오']"
a_a002410,"['선녀바위', '인천내리교회', '소무의도', '왕산해수욕장', '인천광역시교육청교육과학정보원 인천학생과학관', '영종역사관', '월미산', '씨사이드파크', '영종씨사이드 레일바이크', '인천개항누리길']"
a_a009817,"['창덕궁 돈화문', '유니플렉스', '아트원씨어터', '어둠속의대화', '창덕궁 후원', '서촌한옥마을', '교보문고 광화문점', '인왕산 수성동계곡', '흥인지문공원', '콘텐츠박스']"
a_a001264,"['어둠속의대화', '유니플렉스', '인왕산 수성동계곡', '창덕궁 돈화문', '창덕궁 후원', '서촌한옥마을', '아트원씨어터', '교보문고 광화문점', '흥인지문공원', '조계사']"
a_a006562,"['남한산성둘레길 1코스', '경수갤러리', '남한산성 서문 전망대', '서울대학교 수원수목원', '수원탑동시민농장', '수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '만석공원', '화서공원', '플라잉수원']"
a_a005139,"['롯데호텔월드', '롯데월드 어드벤처', '롯데시네마 월드타워', '롯데월드 샤롯데씨어터', '올림픽공원', '롯데월드아쿠아리움', '석촌호수 동호', '롯데월드타워', '석촌호수 서호', '석촌호수수변무대']"
a_a006750,"['연천 전곡리유적 구석기체험숲', '연천호로고루', '임진강댑싸리공원', '연천전곡리선사유적지', '전곡선사박물관', '고랑포구역사공원', '재인폭포']"
a_a014948,"['롯데호텔월드', '난지한강공원', '창덕궁 돈화문', '아트원씨어터', '어둠속의대화', '인왕산 수성동계곡', '유니플렉스', '흥인지문공원', '창덕궁 후원', '콘텐츠박스']"
a_a000056,"['수원시립 아이파크미술관', '플라잉수원', '경수갤러리', '수원화성 연무대 관광안내소', '서울대학교 수원수목원', '수원화성', '화서공원', '광교호수공원', '장안공원 화서문', '용연']"
a_a015245,"['에버랜드 로스트밸리', '스타벅스 용인에버랜드R점', '호암미술관', '에버랜드 판다월드', '에버랜드 정문', '에버랜드 아마존익스프레스', '경기도박물관', '캐리비안베이', '경기도어린이박물관', '백남준아트센터']"
a_a004767,"['에버랜드 판다월드', '스타벅스 용인에버랜드R점', '에버랜드 정문', '호암미술관', '에버랜드 로스트밸리', '에버랜드 아마존익스프레스', '백남준아트센터', '캐리비안베이', '한국민속촌', '경기도어린이박물관']"
a_a018006,"['백범광장', '국립현대미술관 덕수궁관', '충무아트센터 대극장', '덕수궁', '청계광장', '천주교서울대교구 주교좌 명동대성당', '숭례문', '서울로7017', '환구단', '메가박스 동대문']"
a_a000018,"['비둘기낭폭포', '한탄강하늘다리', '한탄강 지질공원센터', '허브아일랜드', '국립수목원', '명성산억새밭', '포천아트밸리', '어메이징파크', '포천한탄강하늘다리', '전통술박물관산사원 본원']"
a_a006026,"['임진각관광지', '헤이리무장애노을숲길', '콩치노 콩크리트', '잇츠콜라박물관', '오두산통일전망대', '마장호수', '파주출판도시', '지혜의숲', '미메시스아트뮤지엄', '감악산']"
a_a007894,"['수원시립 아이파크미술관', '경수갤러리', '서울대학교 수원수목원', '수원탑동시민농장', '광교호수공원', '수원화성 연무대 관광안내소', '플라잉수원', '용연', '수원화성', '매향교']"
a_a015109,"['수원시립 아이파크미술관', '플라잉수원', '경수갤러리', '수원탑동시민농장', '수원화성 연무대 관광안내소', '서울대학교 수원수목원', '만석공원', '용연', '수원화성', '광교호수공원']"
a_a007194,"['안양파빌리온', '안양예술공원']"
a_a005302,"['양화한강공원', '선유도공원', '더현대서울', '여의도공원', '여의도한강공원', '영등포공원', '한강', '63전망대', '63스퀘어', '여의도공원 문화의마당']"
a_a002004,"['안성맞춤랜드', '석남사', '안성팜랜드', '미리내성지', '아쿠아필드 안성']"
a_a002652,"['스타벅스 용인에버랜드R점', '에버랜드 정문', '에버랜드 판다월드', '에버랜드 아마존익스프레스', '에버랜드 로스트밸리', '호암미술관', '캐리비안베이', '한국민속촌', '백남준아트센터', '경기도어린이박물관']"
a_a005705,"['국립중앙박물관', '남산서울타워', '용산가족공원', '국립한글박물관', 'CGV 용산아이파크몰', '남산', '남산공원 N서울타워', '노들섬', '전쟁기념관', '리움미술관']"
a_a001927,"['용산가족공원', '백범광장', '108하늘계단', '충무아트센터 대극장', '남산', '이촌한강공원', '국립한글박물관', 'CGV 용산아이파크몰', '전쟁기념관', '리움미술관']"
a_a004683,"['수원화성 서장대', '경수갤러리', '서울대학교 수원수목원', '수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '수원화성', '화성행궁', '수원화성 동북공심돈', '플라잉수원', '수원팔색길 화성성곽길']"
a_a018147,"['시흥배곧한울공원', '오아시스', '시흥오이도박물관', '배곧생명공원', '물왕호수', '오이도 빨강등대', '오이도', '시흥갯골생태공원']"
a_a005095,"['서촌한옥마을', '인왕산 수성동계곡', '창덕궁 돈화문', '창덕궁 후원', '아트원씨어터', '유니플렉스', '어둠속의대화', '흥인지문공원', '조계사', '청운문학도서관']"
a_a002219,"['어둠속의대화', '인왕산 수성동계곡', '창덕궁 돈화문', '유니플렉스', '아트원씨어터', '창덕궁 후원', '흥인지문공원', '교보문고 광화문점', '청운문학도서관', '서촌한옥마을']"
a_a000407,"['어둠속의대화', '호암미술관', '유니플렉스', '스타벅스 용인에버랜드R점', 'CGV 용산아이파크몰', '인왕산 수성동계곡', '용산가족공원', '에버랜드 로스트밸리', '흥인지문공원', '에버랜드 정문']"
a_a005397,"['헤이리무장애노을숲길', '잇츠콜라박물관', '임진각관광지', '지혜의숲', '콩치노 콩크리트', '오두산통일전망대', '헤이리농원', '미메시스아트뮤지엄', '국립민속박물관 파주', '헤이리예술마을']"
a_a007866,"['수원시립 아이파크미술관', '서울대학교 수원수목원', '경수갤러리', '플라잉수원', '수원팔색길 화성성곽길', '수원화성 연무대 관광안내소', '수원화성', '광교호수공원', '수원화성 동북공심돈', '방화수류정']"
a_a000030,"['쉐라톤그랜드 인천호텔 6층 수영장', '용연', '센트럴파크', '수원시립 아이파크미술관', '광교호수공원', '서울대학교 수원수목원', '수원탑동시민농장', '플라잉수원', '수원화성', '경수갤러리']"
a_a001998,"['수원시립 아이파크미술관', '경수갤러리', '플라잉수원', '광교호수공원', '수원화성 연무대 관광안내소', '수원탑동시민농장', '만석공원', '서울대학교 수원수목원', '용연', '방화수류정']"
a_a007658,"['메가박스 성수', '아더 스페이스 2.0 플래그십 스토어', '서울숲', '그라운드시소 성수', '두부마을']"
a_a006134,"['스타벅스 용인에버랜드R점', '에버랜드 로스트밸리', '에버랜드 정문', '캐리비안베이', '에버랜드 아마존익스프레스', '에버랜드 판다월드', '호암미술관', '경기도어린이박물관', '백남준아트센터', '한국민속촌']"
a_a007924,"['임진각관광지', '잇츠콜라박물관', '헤이리무장애노을숲길', '콩치노 콩크리트', '오두산통일전망대', '퍼스트가든', '미메시스아트뮤지엄', '지혜의숲', '헤이리농원', '마장호수']"
a_a002276,"['안성맞춤랜드', '석남사', '안성팜랜드', '아쿠아필드 안성', '미리내성지']"
b_b006351,"['수원시립 아이파크미술관', '플라잉수원', '경수갤러리', '서울대학교 수원수목원', '용연', '수원탑동시민농장', '광교호수공원', '수원화성 동북공심돈', '수원화성 연무대 관광안내소', '만석공원']"
a_a003274,"['킨텍스 제2전시장', '킨텍스 제1전시장', '고양어린이박물관', '일산호수공원', '정발산', '현대모터스튜디오 고양', '행주산성역사공원', '중남미문화원', '창릉천', '고양시선인장전시관']"
a_a000573,"['수원시립 아이파크미술관', '경수갤러리', '플라잉수원', '수원탑동시민농장', '수원화성 연무대 관광안내소', '수원화성 서장대', '용연', '서울대학교 수원수목원', '광교호수공원', '방화수류정']"
a_a006020,"['임진각관광지', '콩치노 콩크리트', '지혜의숲', '헤이리무장애노을숲길', '마장호수', '헤이리농원', '국립민속박물관 파주', '잇츠콜라박물관', '미메시스아트뮤지엄', '벽초지수목원']"
a_a002830,"['소무의도', '영종씨사이드 레일바이크', '선녀바위', '인천광역시교육청교육과학정보원 인천학생과학관', '인천내리교회', '월미공원', '영종역사관', '왕산해수욕장', '월미도', '월미산']"
a_a002239,"['롯데호텔월드', '용산가족공원', 'CGV 용산아이파크몰', '남산', '국립중앙박물관', '남산서울타워', '롯데월드 샤롯데씨어터', '리움미술관', '국립한글박물관', '전쟁기념관']"
a_a003135,"['충주호', '남한산성둘레길 1코스', '탄금대', '충주박물관', '남한산성 서문 전망대', '중앙탑사적공원', '충주세계무술공원', '중앙탑공원 중원탑평리7층석탑', '수안보족욕체험장', '남한산성 행궁']"
a_a003449,"['경반계곡', '선유도공원', '어둠속의대화', '창덕궁 돈화문', '양화한강공원', '흥인지문공원', '인왕산 수성동계곡', '유니플렉스', '창덕궁 후원', '콘텐츠박스']"
a_a003822,"['물의정원', '광릉숲길', '용암천', '정약용유적지', '다산생태공원', '실학박물관', '정약용유적지 생가', '봉선사']"
a_a005258,"['남한산성둘레길 1코스', '남한산성 서문 전망대', '남한산성 행궁', '화담숲', '남한산성', '한국도자재단 경기도자박물관', '곤지암리조트 스파라스파', '곤지암리조트']"
a_a001702,"['서울캠핑장 철원평화마을', '고석정국민관광지', '철원한탄강주상절리길 순담매표소', '한탄강하늘다리', '비둘기낭폭포', '허브아일랜드', '한탄강 지질공원센터', '국립수목원', '철원한탄강 주상절리길 드르니매표소', '철원한탄강 주상절리길']"
a_a017555,"['손짜장마을', '수산공원', '한강중앙공원', '김포함상공원', '김포한옥마을', '김포아트빌리지']"
a_a000104,"['서울 선릉과 정릉', '롯데호텔월드', '롯데월드 샤롯데씨어터', '광림아트센터 BBCH홀', '롯데월드 어드벤처', '올림픽공원', '코엑스', '잠원한강공원', '마이아트뮤지엄', '석촌호수 동호']"
a_a004771,"['손짜장마을', '김포한옥마을', '수산공원', '한강중앙공원', '김포함상공원', '김포아트빌리지']"
a_a003309,"['화성융릉과건릉', '제부도해수욕장', '제부도', '서해랑제부도해상케이블카 제부승강장', '제부도 빨간등대', '동탄호수공원', '화성시우리꽃식물원', '보통저수지', '서해랑제부도해상케이블카 전곡승강장', '제부도 워터워크']"
a_a011873,"['흥인지문공원', '창덕궁 돈화문', '인왕산 수성동계곡', '창덕궁 후원', '교보문고 광화문점', '아트원씨어터', '서촌한옥마을', '조계사', '유니플렉스', '어둠속의대화']"
a_a003144,"['롯데호텔월드', '롯데월드 샤롯데씨어터', '롯데시네마 월드타워', '올림픽공원', '롯데월드 어드벤처', '롯데월드 민속박물관', '석촌호수 서호', '석촌호수수변무대', '서울스카이', '석촌호수 동호']"
a_a008052,"['롯데호텔월드', '롯데월드 샤롯데씨어터', '롯데시네마 월드타워', '올림픽공원 88잔디마당', '올림픽공원', '석촌호수 서호', '롯데월드 어드벤처', '롯데월드아쿠아리움', '석촌호수 동호', '석촌호수산책길']"
a_a001736,"['아쿠아필드 하남', '미사경정공원', '검단산', '광주향교', '오즈의마법사테마공원', '하남역사박물관', '미사호수공원', '하남나무고아원', '하남유니온파크']"
a_a004915,"['일산호수공원', '정발산', '킨텍스 제1전시장', '중남미문화원', '킨텍스 제2전시장', '현대모터스튜디오 고양', '고양어린이박물관', '행주산성역사공원', '창릉천', '고양시선인장전시관']"
a_a007144,"['선녀바위', '인천내리교회', '소무의도', '영종씨사이드 레일바이크', '월미공원', '월미산', '인천광역시교육청교육과학정보원 인천학생과학관', '영종역사관', '씨사이드파크', '파라다이스시티 씨메르']"
a_a010137,"['백범광장', '충무아트센터 대극장', '덕수궁', '국립현대미술관 덕수궁관', '청계광장', '환구단', '덕수궁돌담길', '서울로7017', '천주교서울대교구 주교좌 명동대성당', '서울시티투어버스']"
a_a008616,"['덕평공룡수목원', '쉬자파크', '테르메덴 실외온천풀', '더그림', '예스파크 이천도자예술마을', '두물머리나루터', '설봉공원', '시몬스 테라스점', '용문사', '두물머리']"
a_a004227,"['메가박스 성수', '롯데호텔월드', '롯데월드 샤롯데씨어터', '롯데시네마 월드타워', '아더 스페이스 2.0 플래그십 스토어', '서울숲', '올림픽공원', '롯데월드 어드벤처', '롯데월드아쿠아리움', '석촌호수산책길']"
a_a007378,"['양화한강공원', '선유도공원', '더현대서울', '여의도공원', '여의도한강공원', '영등포공원', '63스퀘어', '여의도공원 문화의마당', '한강', '63전망대']"
a_a002378,"['호암미술관', '에버랜드 정문', '에버랜드 로스트밸리', '스타벅스 용인에버랜드R점', '에버랜드 판다월드', '에버랜드 아마존익스프레스', '홍익대학교 서울캠퍼스', '캐리비안베이', '경기도어린이박물관', '백남준아트센터']"
a_a006001,"['일산호수공원', '킨텍스 제1전시장', '고양어린이박물관', '중남미문화원', '정발산', '킨텍스 제2전시장', '행주산성역사공원', '현대모터스튜디오 고양', '창릉천', '아쿠아플라넷 일산']"
a_a006545,"['서촌한옥마을', '창덕궁 돈화문', '흥인지문공원', '인왕산 수성동계곡', '아트원씨어터', '창덕궁 후원', '어둠속의대화', '조계사', '청운문학도서관', '콘텐츠박스']"
a_a005644,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '플라잉수원', '경수갤러리', '만석공원', '매향교', '서울대학교 수원수목원', '수원탑동시민농장', '수원화성 동북공심돈', '수원화성 서장대']"
a_a004970,"['경기의왕 레일파크', '레솔레파크', '철도박물관', '왕송호수', '의왕조류생태과학관']"
a_a002019,"['난지한강공원', '홍익대학교 서울캠퍼스', '하늘공원', '망원한강공원', '경의선숲길', '하늘공원 메타세콰이어길', '노을공원', 'KT&G상상마당 홍대']"
a_a007727,"['임진각관광지', '콩치노 콩크리트', '헤이리무장애노을숲길', '지혜의숲', '잇츠콜라박물관', '헤이리농원', '미메시스아트뮤지엄', '오두산통일전망대', '퍼스트가든', '헤이리예술마을']"
a_a000975,"['창덕궁 돈화문', '아트원씨어터', '인왕산 수성동계곡', '서촌한옥마을', '어둠속의대화', '창덕궁 후원', '흥인지문공원', '유니플렉스', '콘텐츠박스', '창경궁']"
a_a000788,"['백범광장', '용산가족공원', '국립중앙박물관', '국립한글박물관', '덕수궁', 'CGV 용산아이파크몰', '남산', '남산서울타워', '국립현대미술관 덕수궁관', '청계광장']"
b_b004636,"['과천청사 시민광장', '국립과천과학관', '서울랜드', '국립현대미술관 과천관', '과천시민회관', '서울대공원', '서울대공원 어린이동물원', '과천중앙공원', '렛츠런파크서울']"
a_a003399,"['수원시립 아이파크미술관', '플라잉수원', '경수갤러리', '수원화성 연무대 관광안내소', '용연', '광교호수공원', '수원탑동시민농장', '서울대학교 수원수목원', '화서공원', '만석공원']"
a_a007418,"['레솔레파크', '왕송호수', '의왕조류생태과학관', '경기의왕 레일파크', '철도박물관']"
a_a003949,"['남한산성둘레길 1코스', '남한산성 서문 전망대', '남한산성 행궁', '화담숲', '남한산성', '한국도자재단 경기도자박물관', '곤지암리조트 스파라스파', '곤지암리조트']"
a_a007928,"['영녕릉 세종대왕유적지구 세종대왕릉', '강천섬유원지', '파사성', '여주오곡나루축제', '여주곤충박물관', '신륵사관광지', '대한불교조계종 신륵사', '영월공원', '명성황후생가', '영녕릉세종대왕 유적지구']"
a_a006632,"['왕송호수', '의왕조류생태과학관', '레솔레파크', '경기의왕 레일파크', '철도박물관']"
a_a011091,"['인천대공원 어린이동물원', '중앙공원', '인천대공원', '소래습지생태공원', '약사사', '소래역사관']"
a_a009760,"['백범광장', '국립현대미술관 덕수궁관', '충무아트센터 대극장', '덕수궁', '청계광장', '환구단', '메가박스 동대문', '서울시티투어버스', '숭례문', '문화역서울284']"
a_a014619,"['롯데호텔월드', '덕수궁', '백범광장', '충무아트센터 대극장', '롯데월드 어드벤처', '롯데월드 샤롯데씨어터', '환구단', '청계광장', '덕수궁돌담길', '천주교서울대교구 주교좌 명동대성당']"
a_a000789,"['인왕산 수성동계곡', '조계사', '아트원씨어터', '서촌한옥마을', '창덕궁 돈화문', '창덕궁 후원', '국립현대미술관 서울관', '어둠속의대화', '서울역사박물관', '유니플렉스']"
a_a003435,"['일산호수공원', '중남미문화원', '정발산', '고양어린이박물관', '행주산성역사공원', '킨텍스 제2전시장', '킨텍스 제1전시장', '현대모터스튜디오 고양', '창릉천', '고양시선인장전시관']"
a_a002167,"['아트원씨어터', '창덕궁 후원', '서촌한옥마을', '창덕궁 돈화문', '유니플렉스', '국립현대미술관 서울관', '흥인지문공원', '어둠속의대화', '인왕산 수성동계곡', '광화문광장 세종대왕동상']"
a_a017689,"['킨텍스 제1전시장', '일산호수공원', '행주산성역사공원', '정발산', '중남미문화원', '고양어린이박물관', '킨텍스 제2전시장', '현대모터스튜디오 고양', '아쿠아플라넷 일산', '고양시선인장전시관']"
a_a001573,"['경수갤러리', '서울대학교 수원수목원', '수원시립 아이파크미술관', '수원화성', '광교호수공원', '수원화성 연무대 관광안내소', '수원화성박물관', '수원팔색길 화성성곽길', '수원화성 동북공심돈', '만석공원']"
a_a006989,"['소무의도', '영종씨사이드 레일바이크', '선녀바위', '인천내리교회', '왕산해수욕장', '인천광역시교육청교육과학정보원 인천학생과학관', '월미산', '씨사이드파크', '월미공원', '파라다이스시티 씨메르']"
a_a002011,"['아트원씨어터', '서촌한옥마을', '어둠속의대화', '유니플렉스', '창덕궁 후원', '교보문고 광화문점', '틴틴홀', '콘텐츠박스', '창덕궁 돈화문', '인왕산 수성동계곡']"
a_a001271,"['서울 선릉과 정릉', '코엑스', '광림아트센터 BBCH홀', '잠원한강공원', '마이아트뮤지엄', '일상비일상의틈', '도산근린공원', '봉은사', '현대모터스튜디오 서울', '코엑스 아쿠아리움']"
a_a004788,"['메가박스 성수', '서울숲', '두부마을', '아더 스페이스 2.0 플래그십 스토어', '그라운드시소 성수']"
a_a003803,"['킨텍스 제1전시장', '행주산성역사공원', '일산호수공원', '중남미문화원', '고양어린이박물관', '정발산', '현대모터스튜디오 고양', '킨텍스 제2전시장', '창릉천', '고양시선인장전시관']"
a_a015340,"['과천청사 시민광장', '국립과천과학관', '서울랜드', '국립현대미술관 과천관', '과천시민회관', '서울대공원 어린이동물원', '서울대공원', '렛츠런파크서울', '과천중앙공원']"
a_a017661,"['에버랜드 로스트밸리', '스타벅스 용인에버랜드R점', '에버랜드 아마존익스프레스', '에버랜드 정문', '호암미술관', '에버랜드 판다월드', '백남준아트센터', '경기도어린이박물관', '캐리비안베이', '경기도박물관']"
a_a007655,"['안양파빌리온', '안양예술공원']"
a_a005619,"['과천청사 시민광장', '과천시민회관', '국립현대미술관 과천관', '국립과천과학관', '서울랜드', '서울대공원 어린이동물원', '서울대공원', '과천중앙공원', '렛츠런파크서울']"
a_a003510,"['수원시립 아이파크미술관', '경수갤러리', '서울대학교 수원수목원', '플라잉수원', '광교호수공원', '용연', '수원화성 연무대 관광안내소', '수원탑동시민농장', '수원화성', '수원팔색길 화성성곽길']"
a_a008721,"['수원화성 연무대 관광안내소', '수원시립 아이파크미술관', '서울대학교 수원수목원', '경수갤러리', '수원탑동시민농장', '매향교', '방화수류정', '수원화성 서장대', '플라잉수원', '화성행궁']"
a_a006965,"['국립유명산자연휴양림', '경반계곡', '경강교 인증센터', '에델바이스 스위스 테마파크', '가평레일파크', '용추폭포', '자라섬 남도', '보야지투자라섬', '아침고요수목원', '자라섬']"
a_a002008,"['선유도공원', '양화한강공원', '더현대서울', '여의도한강공원', '여의도공원', '63스퀘어', '한강', '영등포공원', '여의도공원 문화의마당', '63전망대']"
a_a006808,"['스타벅스 용인에버랜드R점', '호암미술관', '에버랜드 정문', '에버랜드 판다월드', '에버랜드 로스트밸리', '에버랜드 아마존익스프레스', '캐리비안베이', '백남준아트센터', '경기도어린이박물관', '한국민속촌']"
a_a003546,"['탄도항', '시화나래조력공원', '동춘서커스 상설공연장', '유리섬박물관', '대부바다향기테마파크', '화랑유원지', '방아머리해수욕장', '바다향기수목원']"
a_a009439,"['남한산성둘레길 1코스', '남한산성 행궁', '남한산성 서문 전망대', '화담숲', '한국도자재단 경기도자박물관', '남한산성', '곤지암리조트 스파라스파', '곤지암리조트']"
a_a014688,"['선녀바위', '소무의도', '인천내리교회', '왕산해수욕장', '영종역사관', '영종씨사이드 레일바이크', '인천광역시교육청교육과학정보원 인천학생과학관', '월미공원', '영종도', '월미산']"
a_a001627,"['백범광장', '국립현대미술관 덕수궁관', '덕수궁', '충무아트센터 대극장', '청계광장', '천주교서울대교구 주교좌 명동대성당', '서울로7017', '숭례문', '문화역서울284', '남산케이블카']"
a_a006054,"['물의정원', '정약용유적지', '용암천', '광릉숲길', '실학박물관', '다산생태공원', '정약용유적지 생가', '봉선사']"
a_a000221,"['더그림', '쉬자파크', '두물머리나루터', '용문사', '두물머리', '두물머리 물래길 1코스', '두물머리연핫도그', '세미원', '황순원문학관 소나기마을', '양평곤충박물관']"
a_a003242,"['서촌한옥마을', '창덕궁 돈화문', '인왕산 수성동계곡', '어둠속의대화', '아트원씨어터', '창덕궁 후원', '흥인지문공원', '유니플렉스', '콘텐츠박스', '서울공예박물관']"
a_a001308,"['수원탑동시민농장', '수원시립 아이파크미술관', '경수갤러리', '서울대학교 수원수목원', '플라잉수원', '용연', '수원화성 동북공심돈', '광교호수공원', '만석공원', '수원화성 연무대 관광안내소']"
a_a006280,"['쉐라톤그랜드 인천호텔 6층 수영장', '송도센트럴공원 꽃사슴정원', '센트럴파크', '송도센트럴파크', 'CGV 인천연수', '송도한옥마을', '미추홀공원', '인천도시역사관', '솔찬공원', '트라이보울']"
a_a011587,"['경수갤러리', '수원시립 아이파크미술관', '수원탑동시민농장', '서울대학교 수원수목원', '플라잉수원', '광교호수공원', '수원화성', '만석공원', '수원화성 연무대 관광안내소', '방화수류정']"
a_a015319,"['소무의도', '월미공원', '영종씨사이드 레일바이크', '선녀바위', '파라다이스시티 씨메르', '왕산해수욕장', '하나개해수욕장', '월미산', '씨사이드파크', '인천광역시교육청교육과학정보원 인천학생과학관']"
a_a003291,"['한탄강하늘다리', '비둘기낭폭포', '한탄강 지질공원센터', '국립수목원', '허브아일랜드', '어메이징파크', '전통술박물관산사원 본원', '포천한탄강하늘다리', '호텔신북온천', '명성산억새밭']"
a_a007026,"['레솔레파크', '왕송호수', '경기의왕 레일파크', '의왕조류생태과학관', '철도박물관']"
a_a017858,"['서울대학교 수원수목원', '경수갤러리', '수원시립 아이파크미술관', '수원팔색길 화성성곽길', '수원화성 서장대', '광교호수공원', '수원화성', '수원화성 연무대 관광안내소', '방화수류정', '화성행궁']"
a_a004308,"['수원시립 아이파크미술관', '경수갤러리', '서울대학교 수원수목원', '플라잉수원', '광교호수공원', '수원화성 연무대 관광안내소', '만석공원', '수원화성', '화성행궁광장', '수원탑동시민농장']"
a_a010287,"['선유도공원', '인왕산 수성동계곡', '창덕궁 돈화문', '어둠속의대화', '서촌한옥마을', '양화한강공원', '아트원씨어터', '흥인지문공원', '더현대서울', '유니플렉스']"
